question,answer
how long should wait to take another medicine after i take azithromycin,"if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids."
entocort ec how prescribed,"2.1 Mild to Moderate Active Crohn’s Disease
The recommended adult dosage for the treatment of mild to moderate active Crohn's disease involving the ileum and/or the ascending colon is 9 mg orally taken once daily in the morning for up to 8 weeks. Repeated 8 week courses of ENTOCORT EC can be given for recurring episodes of active disease.

2.2 Maintenance of Clinical Remission of Mild to Moderate Crohn’s Disease
Following an 8 week course(s) of treatment for active disease and once the patient’s symptoms are controlled (CDAI less than 150), ENTOCORT EC 6 mg orally is recommended once daily for maintenance of clinical remission up to 3 months. If symptom control is still maintained at 3 months an attempt to taper to complete cessation is recommended. Continued treatment with ENTOCORT EC 6 mg for more than 3 months has not been shown to provide substantial clinical benefit."
what is ketorolac eye drops,Ophthalmic ketorolac is used to treat itchy eyes caused by allergies. It also is used to treat swelling and redness (inflammation) that can occur after cataract surgery. Ketorolac is in a class of medications called nonsteroidal anti-inflammatory drugs (NSAIDs). It works by stopping the release of substances that cause allergy symptoms and inflammation.
how does insulin work?,"Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth."
what can take the place of tramadol,"The American Academy of Pediatrics (AAP) and other pediatric associations and academies have released guidelines on the management of nociceptive pain in children. The top 3 medications’ recommendations in children are paracetamol, ibuprofen, and opioids: non-opioids for mild nociceptive pain; non-opioids + weak opioids for moderate nociceptive pain and non-opioids + strong opioids for severe nociceptive pain. Codeine and tramadol are the only two opioids classified as weak opioids. In most countries, they do not require a restricted medical drug prescription and as “weak” opioids, they are often considered to have a lower potential for adverse drug reactions (ADR) than “strong” opioids."
when is the best time of day to take propranolol,"The extended-release propranolol capsule (brand name: Inderal LA) usually is taken once a day. The extended-release capsule (Innopran XL, Inderal XL) is usually taken at bedtime and should consistently be taken either always with or always without food each time. Immediate-acting propranolol tablets or solution may be taken two, three, or four times a day. Take propranolol at around the same time(s) every day."
what pills are not compatible with hydrocodone,"Taking certain medications or stopping treatment with certain other medications while you are taking hydrocodone may increase the risk that you will experience breathing problems, sedation, coma, or other serious, life-threatening side effects. Tell your doctor if you are taking, plan to take or plan to stop taking any of the following medications: certain antifungal medications including itraconazole (Onmel, Sporanox), ketoconazole (Extina, Nizoral, Xolegel), and voriconazole (Vfend); benzodiazepines such as alprazolam (Xanax), chlordiazepoxide (Librium), clonazepam (Klonopin), diazepam (Diastat, Valium), estazolam, flurazepam, lorazepam (Ativan), oxazepam, temazepam (Restoril), and triazolam (Halcion); carbamazepine (Carbatrol, Epitol, Equetro, Tegretol, others); cimetidine; clarithromycin (Biaxin, in Prevpac); erythromycin (E.E.S., Erythromycin, others); other narcotic pain medications; medications for mental illness or nausea; certain medications for human immunodeficiency virus (HIV) including ritonavir (Norvir, in Kaletra, in Viekira Pak); muscle relaxants; phenytoin (Dilantin, Phenytek); rifampin (Rifadin, Rimactane, in Rifamate, in Rifater); sedatives; sleeping pills; or tranquilizers."
"when used as a rinse, how big should the amount of lidocaineof lidocaine used","Lidocaine viscous comes as a thick liquid and should be shaken well before using. Lidocaine viscous usually is used as needed but not more frequently than every 3 hours, with a maximum of 8 doses in 24 hours. In children under 3 years of age, do not use more frequently than every 3 hours, with a maximum of 4 doses in 12 hours. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use lidocaine exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor."
what does bumetanide pill look like,Color - WHITE (White to off white); Shape - ROUND; Score - 2 pieces; Size - 6mm; Imprint Code - A16
what does ibuprofen contain. any aspirin?,"No, ibuprofen does not contain aspirin. Ibuprofen and aspirin are two different types of NSAIDs (non-steroid anti-inflammatory drugs) that can be used to treat similar conditions. Aspirin is also in a family of medicine called salicylates."
how to inject pills morphine,"MORPHINE SULFATE EXTENDED-RELEASE TABLETS ARE TO BE TAKEN WHOLE, AND ARE NOT TO BE BROKEN, CHEWED OR CRUSHED. TAKING BROKEN, CHEWED OR CRUSHED MORPHINE SULFATE EXTENDED-RELEASE TABLETS COULD LEAD TO THE RAPID RELEASE AND ABSORPTION OF A POTENTIALLY TOXIC DOSE OF MORPHINE."
what does vicodin look like,Color: WHITE Score: 2 pieces Shape: OVAL Size: 14mm Imprint Code: VICODIN;HP;10;300
when teeth have been treated how lon after do yohave to wait to have zoledronic acid injection,"Routine dental treatment generally should not be modified solely on the basis of oral bisphosphonate therapy. However, patients with possible risk factors for BON may benefit from assessment by an expert in metabolic bone diseases. These risk factors may include concomitant use of estrogen or glucocorticoids, older age (over 65 years) and prolonged use of bisphosphonates."
why did my doctor give me levetiracetam,Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.
"is penicillin in the pill ""montelukast?""","What are the ingredients in montelukast sodium tablets?

Active ingredient: montelukast sodium, USP

Inactive ingredients:

10 mg tablet: croscarmellose sodium, hydroxypropyl cellulose, lactose monohydrate, magnesium stearate, and microcrystalline cellulose. The film coating contains: black iron oxide, hydroxypropyl cellulose, hypromellose, red iron oxide, titanium dioxide, and yellow iron oxide."
how will i feel when taking memantine tablets,"In double-blind placebo-controlled trials involving dementia patients, the most common adverse reactions (incidence ≥ 5% and higher than placebo) in patients treated with memantine hydrochloride were dizziness, headache, confusion and constipation."
